Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Team Wins,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Nikola Jokić,C,27,DEN,69,2323,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17,27.2,53,11.2,3.8,14.9,0.308,,8.5,4.5,13,8.8,jokicni01
2,Domantas Sabonis,C,26,SAC,79,2736,23.5,0.668,0.088,0.467,10.6,30,20.3,30.4,1.1,1.2,16.9,21.3,48,9.6,3,12.6,0.221,,4.1,1.8,5.8,5.4,sabondo01
3,Jimmy Butler,PF,33,MIA,64,2138,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1,8.2,25.6,44,9.4,2.9,12.3,0.277,,6.7,2,8.7,5.8,butleji01
4,Joel Embiid,C,28,PHI,66,2284,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37,54,8.4,3.9,12.3,0.259,,6.8,2.3,9.2,6.4,embiijo01
5,Shai Gilgeous-Alexander,PG,24,OKC,68,2416,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,40,8.4,3,11.4,0.226,,5.7,1.5,7.3,5.6,gilgesh01
6,Jayson Tatum,SF,24,BOS,74,2732,23.7,0.607,0.44,0.399,3.2,22.5,13,20.9,1.4,1.6,10.4,32.7,57,6.2,4.3,10.5,0.185,,4.8,0.7,5.5,5.1,tatumja01
7,Luka Dončić,PG,23,DAL,66,2391,28.7,0.609,0.373,0.479,2.6,25.4,13.8,42.3,1.9,1.2,11.9,37.6,38,7.3,2.9,10.2,0.204,,7.6,1.4,8.9,6.6,doncilu01
8,Jarrett Allen,C,24,CLE,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,51,5.5,4,9.5,0.205,,1.3,1,2.4,2.4,allenja01
9,Nic Claxton,C,23,BRK,76,2271,20.8,0.691,0.003,0.419,9.3,25.1,17.4,9.3,1.4,7.1,12.1,15.4,45,5.2,4,9.2,0.195,,0.9,2.2,3.1,2.9,claxtni01
10,Anthony Davis,C,29,LAL,56,1904,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13,1.5,5.1,9.5,28.4,43,5.5,3.4,9,0.226,,4.6,1.7,6.3,4,davisan02
11,Damian Lillard,PG,32,POR,58,2107,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35,1.2,0.8,11.7,33.8,33,8.2,0.8,9,0.205,,8.3,-1.2,7.1,4.9,lillada01
12,Donovan Mitchell,SG,26,CLE,68,2432,22.9,0.614,0.453,0.262,3.1,10.9,7,21.4,2,1,10.3,32.1,51,5.4,3.5,8.9,0.176,,5.6,0.6,6.3,5,mitchdo01
13,Jalen Brunson,PG,26,NYK,68,2379,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,47,6.9,1.8,8.7,0.175,,4.4,-0.5,3.9,3.5,brunsja01
